Year,Date_of_Incident,Route,Operator,Group_Name,Bus_Garage,Borough,Injury_Result_Description,Incident_Event_Type,Victim_Category,Victims_Sex,Victims_Age,Month
2015,2015-01-01,18,Metroline West,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Child,01
2015,2015-01-01,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Elderly,01
2015,2015-01-01,18,Metroline West,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,18,Metroline West,Metroline,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Male,Adult,01
2015,2015-01-01,21,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,22,London General,Go-Ahead,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,23,Tower Transit,Tower Transit,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,24,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,25,Tower Transit,Tower Transit,Garage Not Available,City of London,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Hammersmith & Fulham,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Kensington & Chelsea,Taken to Hospital – Reported Serious Injury or Severity Unknown,Assault,Member Of Public,Male,Adult,01
2015,2015-01-01,27,London United,London United,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,29,Arriva London North,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,29,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,29,Arriva London North,Arriva London,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,31,Tower Transit,Tower Transit,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Elderly,01
2015,2015-01-01,32,Metroline,Metroline,Garage Not Available,Brent,Injuries treated on scene,Assault,Bus Driver,Female,Adult,01
2015,2015-01-01,33,London United,London United,Garage Not Available,Hammersmith & Fulham,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,33,London United,London United,Garage Not Available,Hammersmith & Fulham,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Bus Driver,Female,Adult,01
2015,2015-01-01,33,London United,London United,Garage Not Available,Richmond Upon Thames,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Adult,01
2015,2015-01-01,33,London United,London United,Garage Not Available,Richmond Upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child,01
2015,2015-01-01,34,Metroline,Metroline,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Male,Adult,01
2015,2015-01-01,34,Metroline,Metroline,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,34,Metroline,Metroline,Garage Not Available,Waltham Forest,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child,01
2015,2015-01-01,35,Abellio London,Abellio,Garage Not Available,None London Borough,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,37,Metrobus,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Collision Incident,Cyclist,Male,Adult,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,38,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,43,Metroline,Metroline,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,44,London General,Go-Ahead,Garage Not Available,Wandsworth,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,45,London Central,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Youth,01
2015,2015-01-01,45,London Central,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,45,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,47,Selkent,Stagecoach,Garage Not Available,Lewisham,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,49,Abellio London,Abellio,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,50,Arriva London South,Arriva London,Garage Not Available,Croydon,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,51,Selkent,Stagecoach,Garage Not Available,Bexley,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,52,Metroline,Metroline,Garage Not Available,Brent,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,52,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Cyclist,Male,Adult,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Merton,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,57,London United,London United,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child,01
2015,2015-01-01,59,Arriva London South,Arriva London,Garage Not Available,Camden,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,59,Arriva London South,Arriva London,Garage Not Available,Lambeth,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,60,Arriva London South,Arriva London,Garage Not Available,Croydon,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,61,Selkent,Stagecoach,Garage Not Available,Bromley,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,63,Metrobus,Go-Ahead,Garage Not Available,City of London,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,67,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,67,Arriva London North,Arriva London,Garage Not Available,Southwark,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child,01
2015,2015-01-01,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child,01
2015,2015-01-01,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,68,London Central,Go-Ahead,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child,01
2015,2015-01-01,71,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,71,London United,London United,Garage Not Available,Kingston upon Thames,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Child,01
2015,2015-01-01,73,Arriva London North,Arriva London,Garage Not Available,Islington,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,73,Arriva London North,Arriva London,Garage Not Available,Westminster,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,74,London General,Go-Ahead,Garage Not Available,Kensington & Chelsea,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,76,Arriva London North,Arriva London,Garage Not Available,Hackney,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,77,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,79,Metroline,Metroline,Garage Not Available,Brent,Reported Minor Injury - Treated at Hospital,Collision Incident,Passenger,Male,Adult,01
2015,2015-01-01,79,Metroline,Metroline,Garage Not Available,Brent,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Passenger,Female,Adult,01
2015,2015-01-01,81,London United,London United,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Bus Driver,Male,Elderly,01
2015,2015-01-01,81,London United,London United,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Female,Child,01
2015,2015-01-01,83,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,85,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,88,London General,Go-Ahead,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,89,London General,Go-Ahead,Garage Not Available,Lewisham,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,90,Metroline,Metroline,Garage Not Available,Hillingdon,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,91,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,91,Metroline,Metroline,Garage Not Available,Islington,Injuries treated on scene,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,93,London General,Go-Ahead,Garage Not Available,Merton,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Elderly,01
2015,2015-01-01,93,London General,Go-Ahead,Garage Not Available,Wandsworth,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Male,Adult,01
2015,2015-01-01,94,London United,London United,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,95,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Bus Driver,Female,Adult,01
2015,2015-01-01,95,Metroline West,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,95,Metroline West,Metroline,Garage Not Available,Ealing,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,96,Selkent,Stagecoach,Garage Not Available,Bexley,Taken to Hospital – Reported Serious Injury or Severity Unknown,Vandalism Hooliganism,Passenger,Female,Adult,01
2015,2015-01-01,96,Selkent,Stagecoach,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,97,Selkent,Stagecoach,Garage Not Available,Waltham Forest,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Unknown,01
2015,2015-01-01,102,Arriva London North,Arriva London,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,102,Arriva London North,Arriva London,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,102,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,104,Selkent,Stagecoach,Garage Not Available,Newham,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Female,Unknown,01
2015,2015-01-01,106,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,109,Arriva London South,Arriva London,Garage Not Available,Croydon,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,109,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Cyclist,Unknown,Unknown,01
2015,2015-01-01,109,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Child,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Collision Incident,Motorcyclist,Male,Adult,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Safety Critical Failure,Passenger,Male,Adult,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,111,London United,London United,Garage Not Available,Hounslow,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,115,East London,Stagecoach,Garage Not Available,Newham,Taken to Hospital – Reported Serious Injury or Severity Unknown,Collision Incident,Pedestrian,Male,Adult,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Lambeth,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Male,Child,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Collision Incident,Passenger,Female,Adult,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Collision Incident,Passenger,Male,Adult,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,118,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,121,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,123,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,125,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,131,London United,London United,Garage Not Available,Wandsworth,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,134,Metroline,Metroline,Garage Not Available,Camden,Reported Minor Injury - Treated at Hospital,Collision Incident,Passenger,Female,Adult,01
2015,2015-01-01,134,Metroline,Metroline,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,137,Arriva London South,Arriva London,Garage Not Available,Kensington & Chelsea,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,137,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,137,Arriva London South,Arriva London,Garage Not Available,Westminster,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,139,Metroline,Metroline,Garage Not Available,Westminster,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,140,Metroline,Metroline,Garage Not Available,Ealing,Injuries treated on scene,Onboard Injuries,Passenger,Male,Elderly,01
2015,2015-01-01,140,Metroline,Metroline,Garage Not Available,Harrow,Injuries treated on scene,Collision Incident,Bus Driver,Male,Adult,01
2015,2015-01-01,140,Metroline,Metroline,Garage Not Available,Harrow,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,141,Arriva London North,Arriva London,Garage Not Available,Enfield,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,141,Arriva London North,Arriva London,Garage Not Available,Hackney,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,141,Arriva London North,Arriva London,Garage Not Available,Haringey,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,142,Arriva The Shires,Arriva The Shires,Garage Not Available,Barnet,Reported Minor Injury - Treated at Hospital,Collision Incident,Pedestrian,Unknown,Unknown,01
2015,2015-01-01,143,Metroline,Metroline,Garage Not Available,Barnet,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,144,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,144,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,148,London United,London United,Garage Not Available,Southwark,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,149,Arriva London North,Arriva London,Garage Not Available,Enfield,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,149,Arriva London North,Arriva London,Garage Not Available,Haringey,Fatal,Collision Incident,Pedestrian,Male,Adult,01
2015,2015-01-01,149,Arriva London North,Arriva London,Garage Not Available,None London Borough,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,150,Arriva London North,Arriva London,Garage Not Available,Croydon,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Unknown,Unknown,01
2015,2015-01-01,151,London General,Go-Ahead,Garage Not Available,Sutton,Reported Minor Injury - Treated at Hospital,Onboard Injuries,Passenger,Female,Elderly,01
2015,2015-01-01,154,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,154,London General,Go-Ahead,Garage Not Available,Merton,Injuries treated on scene,Onboard Injuries,Passenger,Male,Adult,01
2015,2015-01-01,155,London General,Go-Ahead,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,157,Abellio London,Abellio,Garage Not Available,Sutton,Taken to Hospital – Reported Serious Injury or Severity Unknown,Onboard Injuries,Passenger,Female,Adult,01
2015,2015-01-01,158,Selkent,Stagecoach,Garage Not Available,Waltham Forest,Injuries treated on scene,Onboard Injuries,Passenger,Male,Unknown,01
2015,2015-01-01,159,Arriva London South,Arriva London,Garage Not Available,Lambeth,Injuries treated on scene,Onboard Injuries,Passenger,Unknown,Unknown,01
